"ZCTA","Total_Doses","People_1_dose","People_all_doses"
"77418",2269,1522,747
"77419",127,83,44
"77420",216,151,65
"77422",1590,1196,394
"77423",2011,1479,532
"77426",422,347,75
"77428",0,0,0
"77429",13300,8844,4456
"77430",356,254,102
"77432",25,15,10
"77433",15697,10440,5257
"77434",710,518,192
"77435",710,494,216
"77436",26,20,6
"77437",2250,1405,845
"77440",30,19,11
"77441",4821,3205,1616
"77442",207,127,80
"77443",56,41,15
"77444",97,73,24
"77445",1608,1098,510
"77446",158,107,51
"77447",1745,1194,551
"77448",111,84,27
"77449",12101,8173,3928
"77450",13360,8957,4403
"77451",134,112,22
"77453",25,16,9
"77454",32,28,0
"77455",186,120,66
"77456",130,87,43
"77457",113,77,36
"77458",57,40,17
"77459",25196,16401,8795
"77460",36,23,13
"77461",1680,1140,540
"77464",86,61,25
"77465",718,464,254
"77466",101,69,32
"77467",11,7,0
"77468",29,21,8
"77469",13391,8968,4423
"77470",58,36,22
"77471",5794,3971,1823
"77473",48,30,18
"77474",1776,1259,517
"77475",150,96,54
"77476",148,96,52
"77477",6643,4378,2265
"77478",11262,7346,3916
"77479",35806,23118,12688
"77480",1278,907,371
"77481",54,38,16
"77482",219,145,74
"77483",27,21,6
"77484",1418,994,424
"77485",412,286,126
"77486",1386,925,461
"77488",2161,1468,693
"77489",6717,4615,2102
"77493",6839,4567,2272
"77494",24376,16187,8189
"77498",12233,8111,4122
"77502",3398,2213,1185
"77503",2376,1546,830
"77504",3106,1987,1119
"77505",4215,2720,1495
"77506",2433,1611,822
"77507",70,44,26
"77510",2663,1691,972
"77511",6455,4347,2108
"77514",992,695,297
"77515",5319,3659,1660
"77517",980,634,346
"77518",1033,687,346
"77519",98,68,30
"77520",4217,2737,1480
"77521",8276,5305,2971
"77523",3716,2536,1180
"77530",2388,1621,767
"77531",1537,1147,390
"77532",3591,2405,1186
"77533",71,41,30
"77534",452,306,146
"77535",3056,1963,1093
"77536",5009,3247,1762
"77538",136,84,52
"77539",7653,4874,2779
"77541",1512,1127,385
"77545",3499,2374,1125
"77546",13407,8641,4766
"77547",854,581,273
"77550",8707,5213,3494
"77551",6543,3901,2642
"77554",4523,2711,1812
"77560",130,95,35
"77561",134,79,55
"77562",1282,857,425
"77563",2004,1300,704
"77564",185,117,68
"77565",1851,1207,644
"77566",5150,3639,1511
"77568",4048,2584,1464
"77571",4730,3029,1701
"77573",22375,14227,8148
"77575",2162,1323,839
"77577",227,155,72
"77578",5678,3641,2037
"77580",268,173,95
"77581",10915,6914,4001
"77583",5128,3411,1717
"77584",24753,15432,9321
"77585",89,63,26
"77586",4819,3050,1769
"77587",1394,940,454
"77590",5254,3379,1875
"77591",3345,2150,1195
"77597",122,84,38
"77598",3442,2296,1146
"77611",1240,964,276
"77612",1439,976,463
"77613",175,140,35
"77614",123,92,31
"77615",205,133,72
"77616",139,99,40
"77617",50,35,15
"77619",2010,1497,513
"77622",290,204,86
"77623",59,42,17
"77624",168,121,47
"77625",1529,1080,449
"77627",3848,2744,1104
"77629",127,100,27
"77630",3265,2589,676
"77632",3103,2436,667
"77640",3451,2364,1084
"77642",4849,3523,1326
"77650",804,534,270
"77651",2524,1772,752
"77655",38,29,9
"77656",2768,2003,765
"77657",4424,3152,1272
"77659",1058,698,360
"77660",192,141,51
"77661",136,100,36
"77662",2928,2186,742
"77663",510,349,161
"77664",568,393,175
"77665",1288,930,358
"77701",1355,1082,268
"77702",473,339,134
"77703",1068,878,190
"77705",3204,2488,716
"77706",7986,5701,2285
"77707",3579,2603,976
"77708",1788,1355,433
"77713",2549,1848,701
"77801",974,727,247
"77802",6808,5089,1719
"77803",2596,1972,624
"77807",2012,1431,581
"77808",3058,2326,732
"77830",475,358,109
"77831",504,359,145
"77833",6388,4813,1575
"77835",559,462,97
"77836",1764,1310,444
"77837",192,153,39
"77840",3378,2546,832
"77845",14570,10744,3823
"77853",123,92,31
"77855",37,26,11
"77856",891,644,247
"77857",194,123,71
"77859",1225,908,317
"77861",507,390,117
"77864",912,619,293
"77865",222,155,67
"77867",0,0,0
"77868",2142,1529,613
"77871",534,384,150
"77872",225,172,53
"77873",176,144,32
"77876",28,22,6
"77878",90,69,21
"77879",884,687,197
"77880",360,285,75
"77901",6302,4393,1909
"77904",7989,5361,2628
"77905",3083,2081,1002
"77950",55,35,20
"77951",212,153,59
"77954",1531,1019,507
"77957",2226,1239,987
"77960",22,15,7
"77961",19,12,7
"77962",975,562,413
"77963",1568,946,622
"77964",2145,1330,815
"77968",672,441,231
"77969",21,12,9
"77970",67,38,29
"77971",207,118,89
"77973",0,0,0
"77974",54,39,15
"77975",363,235,128
"77976",44,27,17
"77977",88,59,29
"77978",84,59,25
"77979",2444,1706,738
"77982",243,173,70
"77983",231,165,66
"77984",894,623,271
